termo;categoria;definicao;exemplo;observacao
Competência (mês);processos;Mês ao qual a receita/despesa pertence na apuração.;"Despesa de janeiro lançada como competência 2026-01.";Usado para DRE.
Status confirmado;processos;Lançamento já realizado (ocorreu de fato).;"Pagamento já efetuado.";Usado para consolidar realizado.
Status previsto;processos;Lançamento futuro/planejado (ainda não ocorreu).;"Boleto com vencimento futuro em aberto.";Usado para projeção.
Documento de referência;processos;Identificador ligado ao lançamento (NF, boleto, OS, contrato).;"NF-10392, BOL-9981, OS-221.";Ajuda rastreabilidade.
Fornecedor;processos;Entidade para quem a empresa paga.;"Locadora de veículos, fornecedor de peças.";Ajuda classificação por histórico.
Cliente;processos;Entidade que paga a empresa.;"Cliente contrato manutenção planta X.";Usado para A/R e análise de inadimplência.
Política de classificação;seguranca;Regras internas do que entra em cada conta/centro de custo.;"Frete de compra em CSP/CMV; frete de venda em comercial.";Evita inconsistência entre analistas.
Fonte do dado;seguranca;Origem do número (arquivo/tabela + filtro).;"base: transacoes.csv; mes=2026-01; regime=competencia.";Obrigatório em respostas numéricas.
Fora do escopo;seguranca;Pergunta que não pertence ao domínio do agente.;"Previsão do tempo, futebol, notícias gerais.";Agente deve recusar com educação.
Não consta na base;seguranca;Resposta padrão quando faltam dados para responder.;"Sem extrato bancário, não há saldo disponível.";Agente deve dizer o que falta para responder.
